,year,odometer,numtype,numdrive,numcylinders,nummodel,price
2054,2004,227000.0,7,2,1,11,3500
2055,2006,120000.0,2,2,1,44,6200
2056,2007,130123.0,0,0,2,24,10800
2057,2014,118123.0,0,2,2,24,17500
2058,2009,85500.0,5,2,2,27,11800
2059,2004,85873.0,1,2,2,53,13999
2060,2010,166000.0,6,2,2,10,3650
2061,2011,122304.0,5,2,0,46,9995
2062,2008,174000.0,5,2,0,46,5999
2063,2012,101000.0,1,2,0,44,10500
2064,2016,42200.0,0,1,0,19,19999
2065,2016,44300.0,0,1,1,19,17995
2066,2007,194000.0,7,2,1,11,3900
2067,2007,84000.0,6,1,1,52,4500
2068,2003,122000.0,6,2,2,1,14500
2069,2010,130319.0,6,1,0,36,2995
2070,2003,160000.0,6,1,1,18,2500
2071,2011,168980.0,0,0,1,26,3495
2072,2013,191283.0,5,0,2,27,17994
2073,2003,168000.0,3,1,0,36,3500
2074,2005,109786.0,0,2,2,24,4995
2075,2013,57736.0,5,0,1,27,26994
2076,2005,109786.0,0,2,2,24,4995
2077,2006,130000.0,0,0,1,26,7999
2078,2003,149055.0,5,0,2,27,2595
2079,2005,149000.0,0,0,1,26,3995
2080,2005,109786.0,0,2,2,24,4995
2081,2012,120000.0,5,0,2,27,9800
2082,2012,120000.0,5,0,2,27,9800
2083,2001,189541.0,3,1,0,36,2995
2084,2009,175068.0,0,1,1,34,3995
2085,2011,147858.0,5,0,2,27,14994
2086,2007,149000.0,0,2,1,26,2995
2087,2014,230223.0,5,2,2,27,14700
2088,2017,80465.0,0,1,0,26,23990
2089,2019,35000.0,6,1,0,33,10500
2090,2013,126510.0,5,0,1,27,26500
2091,2012,116985.0,5,2,2,27,19700
2092,2004,46000.0,1,2,2,53,15900
2093,2012,149000.0,6,2,0,52,5995
2094,2008,136000.0,6,0,0,36,3500
2095,2001,187000.0,0,2,2,24,2400
2096,2011,140000.0,0,1,0,21,6000
2097,2003,104900.0,1,1,1,44,4950
2098,2008,103684.0,2,1,0,36,3250
2099,2003,198000.0,6,1,1,52,1600
2100,2017,48090.0,5,2,1,27,23000
2101,2013,149000.0,6,1,0,36,4500
2102,2009,82000.0,5,2,2,29,17900
2103,2008,145000.0,5,2,2,28,13900
2104,2012,192000.0,7,1,0,66,4200
2105,2004,231000.0,0,2,2,24,3200
2106,2007,210000.0,3,1,0,36,1299
2107,2010,145000.0,0,0,1,26,7500
2108,2007,190557.0,6,1,1,52,2400
2109,2006,129055.0,5,1,1,27,5895
2110,2015,78575.0,6,1,0,36,9995
2111,2008,94651.0,5,0,2,28,27700
2112,2006,76000.0,5,2,2,28,9950
2113,2005,37681.0,2,2,2,44,19995
2114,2013,93655.0,2,2,1,44,10500
2115,2018,5148.0,2,2,0,44,26900
2116,2002,174526.0,0,2,1,26,4995
2117,2003,43000.0,5,2,2,28,16900
2118,2012,279000.0,5,0,2,29,29998
2119,2016,59243.0,0,1,1,26,22995
2120,2016,148000.0,5,0,2,27,29998
2121,2012,180000.0,5,2,1,27,17998
2122,2006,106000.0,6,2,0,36,3600
2123,2008,64685.0,7,2,2,12,14995
2124,2002,176827.0,0,2,2,23,12995
2125,2001,150000.0,4,1,0,11,3400
2126,2013,46000.0,7,1,0,11,11500
2127,2003,185000.0,7,2,2,13,8000
2128,2013,156146.0,5,0,1,27,22990
2129,2004,88364.0,5,1,1,19,8899
2130,2006,165000.0,7,2,2,13,7500
2131,2007,150000.0,7,2,2,26,8450
2132,2004,69498.0,2,2,1,44,5449
2133,2008,109250.0,5,2,2,29,12500
2134,2009,116524.0,6,1,1,40,4900
2135,2010,150000.0,6,1,1,52,7900
2136,2008,64685.0,7,2,2,12,14995
2137,2003,164000.0,5,2,1,27,4275
2138,2010,76265.0,5,1,0,40,9995
2139,2013,75000.0,6,1,0,33,5500
2140,2016,148000.0,5,0,2,27,29998
2141,2014,101634.0,7,2,2,18,14988
2142,2014,76870.0,7,1,0,40,10995
2143,2011,220000.0,5,2,2,27,7000
2144,2002,256000.0,0,2,2,24,2500
2145,2013,139784.0,6,0,1,52,6999
2146,2006,97000.0,5,1,1,27,3495
2147,2018,230223.0,5,2,2,27,14700
2148,2014,97304.0,0,0,1,26,19900
2149,2005,250000.0,5,2,2,28,8000
2150,2013,48453.0,5,2,1,27,14995
2151,2008,209000.0,0,0,2,24,10000
2152,2013,126510.0,5,0,1,27,26500
2153,2012,116985.0,5,2,2,27,19700
2154,2013,82692.0,0,1,1,34,11900
2155,2007,124876.0,1,2,1,44,8499
2156,2005,283000.0,5,0,2,28,13000
2157,2011,87959.0,0,0,1,21,8900
2158,2013,92958.0,5,0,2,27,25900
2159,2013,92958.0,5,0,2,27,25900
2160,2008,94651.0,5,0,2,28,27700
2161,2013,85960.0,2,0,1,44,14000
2162,2011,87959.0,0,0,1,21,8900
2163,2003,43000.0,5,0,2,28,16900
2164,2013,48453.0,5,2,1,27,14995
2165,2007,90000.0,5,2,2,27,9900
2166,2003,139000.0,6,2,2,10,1200
2167,2013,85960.0,2,2,1,44,14000
2168,2013,48453.0,5,2,1,27,14995
2169,2005,172000.0,7,2,2,11,3000
2170,2010,164300.0,5,2,2,27,14900
2171,2014,75500.0,6,1,0,40,11500
2172,2004,221000.0,5,0,2,28,13500
2173,2016,113122.0,6,1,0,40,7650
2174,2005,80926.0,1,2,2,53,14700
2175,2013,48453.0,5,2,1,27,14995
2176,2012,98549.0,5,0,1,27,22600
2177,2001,208000.0,0,2,2,23,17199
2178,2011,137397.0,5,2,2,27,18700
2179,2016,93603.0,2,2,2,44,29999
2180,2003,161000.0,4,1,1,81,2800
2181,2009,156178.0,5,0,2,28,26700
2182,2013,48453.0,5,2,1,27,14995
2183,2013,48453.0,5,2,1,27,14995
2184,2013,92958.0,5,0,1,27,23900
2185,2010,137677.0,6,0,2,10,3150
2186,2005,140000.0,5,2,1,26,3995
2187,2014,162499.0,5,0,2,27,13700
2188,2011,130000.0,3,1,0,27,2000
2189,2009,197252.0,5,0,2,27,9750
2190,2009,94000.0,0,1,1,19,6000
2191,2011,130000.0,6,2,1,36,4500
2192,2005,140000.0,6,1,0,36,4400
2193,2008,161000.0,5,0,0,27,6500
2194,2002,188000.0,5,2,0,46,2000
2195,2010,223551.0,0,2,2,24,9999
2196,2008,126000.0,2,2,2,44,7500
2197,2009,100000.0,5,2,2,27,6000
2198,2004,95328.0,6,1,1,52,3999
2199,2016,69200.0,3,1,0,36,14600
2200,2006,126000.0,6,2,1,52,4500
2201,2001,238500.0,5,2,1,27,4200
2202,2014,77700.0,2,2,1,44,20995
2203,2014,117881.0,6,1,1,40,10999
2204,2010,120000.0,6,1,0,40,5400
2205,2003,240000.0,0,2,2,24,2400
2206,2014,64000.0,2,2,1,44,5000
2207,2014,110000.0,6,2,0,36,3500
2208,2003,200000.0,6,1,1,52,995
2209,2013,101500.0,0,1,1,26,14999
2210,2016,231112.0,6,1,0,36,4500
2211,2002,186433.0,6,0,2,28,15500
2212,2010,113651.0,2,2,1,44,9995
2213,2012,159000.0,6,2,0,40,3800
2214,2002,26000.0,1,2,2,53,18500
2215,2011,198914.0,6,1,0,33,2500
2216,2002,134401.0,6,1,1,52,2700
2217,2011,164000.0,5,1,1,27,8950
2218,2008,220000.0,6,1,0,36,3250
2219,2003,151115.0,0,2,2,24,4800
2220,2010,160000.0,6,1,0,40,4900
2221,2006,129055.0,5,1,0,27,5895
2222,2014,180101.0,4,1,0,57,9800
2223,2018,36905.0,2,1,0,44,24500
2224,2005,216821.0,3,1,0,36,2250
2225,2014,184500.0,5,2,2,27,15000
2226,2014,110000.0,6,2,0,36,3500
2227,2006,17100.0,1,2,2,44,23000
2228,2014,219581.0,7,1,0,57,9500
2229,2007,191000.0,6,2,2,10,3199
2230,2010,160000.0,6,1,0,40,4900
2231,2003,200000.0,6,1,0,52,995
2232,2005,127532.0,6,1,2,10,2500
2233,2005,97000.0,0,1,1,21,5200
2234,2010,198000.0,6,1,0,36,2400
2235,2012,146000.0,6,2,2,24,16000
2236,2013,145132.0,0,1,0,21,14000
2237,2005,178000.0,5,1,2,27,2500
2238,2004,184961.0,5,0,2,28,15000
2239,2007,190000.0,5,0,2,27,13500
2240,2017,72849.0,0,0,1,24,29900
2241,2005,148094.0,6,1,1,52,3500
2242,2016,117906.0,0,1,0,21,9988
2243,2003,140000.0,0,2,2,26,1000
2244,2011,113700.0,5,2,1,27,7500
2245,2008,32648.0,5,2,1,46,12500
2246,2013,155000.0,6,1,0,33,6000
2247,2015,99000.0,2,1,0,40,9500
2248,2008,60467.0,6,2,2,10,3400
2249,2004,179634.0,0,2,2,24,6000
2250,2011,244232.0,6,1,1,52,6500
2251,2015,100000.0,2,1,0,33,7900
2252,2010,137000.0,6,1,0,36,3700
2253,2005,45400.0,6,0,1,2,5300
2254,2007,189000.0,6,1,1,52,4995
2255,2014,89900.0,0,1,0,21,14500
2256,2017,72849.0,0,0,1,24,29900
2257,2011,174000.0,0,2,2,10,4700
2258,2014,32618.0,2,2,1,44,17500
2259,2007,150000.0,0,2,1,38,2300
2260,2019,45000.0,6,0,0,40,22000
2261,2008,93500.0,1,2,2,44,12500
2262,2001,200000.0,5,0,2,29,19550
2263,2016,100000.0,7,2,1,11,21800
2264,2016,100000.0,7,2,1,11,21800
2265,2007,146989.0,0,1,2,24,8990
2266,2016,100000.0,7,2,1,11,21800
2267,2013,39300.0,0,1,0,21,16995
2268,2019,4200.0,0,1,0,26,25888
2269,2003,110000.0,0,2,2,26,3300
2270,2010,46800.0,7,2,2,11,14600
2271,2004,195537.0,5,2,2,28,5000
2272,2008,20903.0,5,2,2,29,26995
2273,2013,75159.0,7,1,1,34,14995
2274,2017,6832.0,6,1,0,40,21995
2275,2004,250000.0,7,2,2,12,6500
2276,2016,41445.0,3,1,2,36,9200
2277,2013,56500.0,2,2,2,44,25500
2278,2005,46797.0,7,2,2,37,6800
2279,2017,31500.0,6,0,1,26,23000
2280,2002,115000.0,5,2,0,46,2500
2281,2019,29300.0,0,1,0,21,27888
2282,2011,62000.0,6,1,0,36,4000
2283,2003,56000.0,1,2,2,53,13750
2284,2003,120000.0,0,2,1,26,3800
2285,2004,96600.0,4,1,1,37,5900
2286,2017,25012.0,2,2,1,44,2999
2287,2009,105637.0,7,2,2,13,2999
2288,2010,88567.0,6,2,2,10,3500
2289,2002,43291.0,3,1,0,36,3500
2290,2010,99650.0,2,1,1,44,4500
2291,2011,79210.0,0,2,0,21,2999
2292,2008,56768.0,6,1,0,36,1999
2293,2004,180068.0,0,2,2,24,7900
2294,2006,74798.0,2,2,2,44,12900
2295,2015,67896.0,7,2,0,57,15900
2296,2019,21288.0,6,1,0,33,16995
2297,2012,91603.0,6,1,0,57,12999
2298,2017,50322.0,6,1,0,36,8995
2299,2013,90794.0,6,1,0,36,7995
2300,2017,70000.0,7,2,1,36,21000
2301,2013,75159.0,7,1,1,34,14995
2302,2004,181672.0,7,2,2,13,6000
2303,2010,34289.0,7,2,2,13,16999
2304,2017,6832.0,6,1,0,40,21995
2305,2019,21288.0,6,1,0,33,16995
2306,2006,75000.0,3,1,0,36,1600
2307,2011,144000.0,6,1,0,40,5495
2308,2005,120000.0,5,0,2,27,9000
2309,2010,164000.0,0,0,2,24,9450
2310,2013,74334.0,0,0,0,21,13000
2311,2004,197000.0,6,1,0,21,2250
2312,2018,43000.0,3,1,0,36,19995
2313,2007,145000.0,3,1,0,36,2500
2314,2018,43000.0,3,1,0,36,19995
2315,2013,165776.0,0,0,1,26,12995
2316,2013,42400.0,6,1,0,40,13500
2317,2013,116000.0,3,1,0,36,13000
2318,2008,185000.0,5,0,2,29,11500
2319,2017,44150.0,5,1,0,33,10000
2320,2017,92528.0,0,1,1,34,20995
2321,2011,136000.0,6,2,2,10,10000
2322,2007,115000.0,6,1,1,40,3000
2323,2013,148537.0,0,0,1,26,10100
2324,2006,64323.0,2,0,1,44,9295
2325,2010,116123.0,2,0,1,21,7995
2326,2016,95123.0,6,1,0,33,6795
2327,2008,105961.0,5,0,2,28,24988
2328,2018,43000.0,3,1,0,36,19995
2329,2014,149000.0,5,2,1,27,8995
2330,2007,175000.0,8,1,1,27,1100
2331,2005,148550.0,5,0,2,29,19950
2332,2013,84729.0,0,0,1,19,14950
2333,2013,125435.0,6,1,0,40,6950
2334,2018,43000.0,3,1,0,36,19995
2335,2010,142000.0,0,0,1,26,7000
2336,2007,104000.0,1,2,1,44,8995
2337,2013,141955.0,7,2,2,18,13295
2338,2017,74098.0,6,1,0,36,9491
2339,2008,241707.0,5,0,2,28,19995
2340,2018,43000.0,3,1,0,36,19995
2341,2006,151000.0,5,2,2,27,6995
2342,2013,117706.0,0,0,1,26,14988
2343,2014,166469.0,5,2,2,27,10995
2344,2014,102634.0,5,0,0,21,12995
2345,2018,43000.0,3,1,0,36,19995
2346,2002,274000.0,3,2,2,13,7500
2347,2017,35835.0,3,2,2,40,9950
2348,2007,129776.0,1,2,1,44,7295
2349,2015,95312.0,2,1,0,44,16295
2350,2014,104039.0,3,1,0,36,7295
2351,2008,91600.0,2,1,0,36,4250
2352,2018,43000.0,3,1,0,36,19995
2353,2003,179000.0,0,0,2,24,5950
2354,2008,241707.0,5,0,2,28,19995
2355,2017,39000.0,0,0,1,19,24400
2356,2003,149055.0,5,0,2,27,2595
2357,2011,214620.0,5,0,2,27,9500
2358,2008,241707.0,5,0,2,28,19995
2359,2018,73457.0,0,1,0,19,21995
2360,2008,241707.0,5,0,2,28,19995
2361,2015,99076.0,0,0,2,19,15900
2362,2008,105961.0,5,0,2,28,24988
2363,2003,240000.0,5,0,2,28,13500
2364,2007,106102.0,6,1,0,36,4500
2365,2013,280000.0,5,0,1,27,9800
2366,2015,111347.0,0,0,1,26,19995
2367,2018,10209.0,3,1,0,36,22995
2368,2014,84787.0,0,0,1,34,16995
2369,2014,118113.0,0,0,0,21,10995
2370,2016,74203.0,0,0,0,26,20800
2371,2012,78218.0,2,2,0,44,12900
2372,2006,284000.0,5,0,2,29,8300
2373,2004,163717.0,0,2,1,26,4500
2374,2014,84787.0,0,0,1,34,16995
2375,2016,89031.0,0,0,1,26,19800
2376,2018,29137.0,7,2,1,54,26788
2377,2004,163717.0,0,2,1,26,4500
2378,2015,110105.0,0,1,1,26,18995
2379,2002,183000.0,5,0,2,29,12000
2380,2012,75000.0,5,1,0,19,11500
2381,2016,92280.0,6,1,0,40,11500
2382,2007,102500.0,6,2,1,44,6750
2383,2016,90002.0,0,0,1,26,24998
2384,2017,39875.0,6,1,0,40,16500
2385,2006,212000.0,0,1,2,24,4995
2386,2014,105666.0,6,1,0,36,7500
2387,2014,66230.0,6,1,0,40,8500
2388,2010,132000.0,5,0,2,27,29995
2389,2012,250000.0,5,0,2,29,21995
2390,2006,58260.0,6,0,1,52,7995
2391,2009,107402.0,0,0,1,34,11495
2392,2012,250000.0,5,0,2,29,21995
2393,2002,129000.0,5,1,1,52,2500
2394,2011,133200.0,5,0,2,27,27500
2395,2013,92000.0,2,2,2,44,17000
2396,2006,276548.0,8,1,1,38,3500
2397,2006,239100.0,0,0,1,26,3588
2398,2006,212000.0,0,0,2,24,4995
2399,2011,167943.0,6,1,0,40,6400
2400,2007,148381.0,6,1,1,52,2900
2401,2013,96000.0,6,1,1,40,6000
2402,2004,168000.0,5,0,2,28,12000
2403,2009,107402.0,0,0,1,34,11495
2404,2015,52000.0,6,1,0,40,12500
2405,2006,212000.0,0,1,2,24,4995
2406,2006,195000.0,0,0,2,24,4800
2407,2014,45821.0,7,2,2,18,22500
2408,2014,71106.0,2,2,1,44,15900
2409,2013,150189.0,7,1,0,57,9500
2410,2008,173606.0,0,0,1,19,5995
2411,2007,52600.0,7,2,2,18,14000
2412,2013,97580.0,0,1,1,19,11500
2413,2006,212000.0,0,1,2,24,4995
2414,2002,247000.0,5,2,2,28,8500
2415,2006,137588.0,6,1,0,40,5625
2416,2017,51549.0,0,0,0,21,18999
2417,2014,102634.0,0,0,0,21,13995
2418,2002,112000.0,0,2,2,21,9700
2419,2014,99300.0,5,0,1,27,28999
2420,2010,58000.0,6,1,1,36,6500
2421,2003,246000.0,0,0,2,24,3000
2422,2009,107402.0,0,0,1,34,11495
2423,2014,152000.0,5,0,2,29,16200
2424,2008,105961.0,5,0,2,28,24988
2425,2007,1000.0,6,2,2,28,2700
2426,2008,144000.0,0,0,1,19,7600
2427,2004,162029.0,8,1,1,52,2500
2428,2003,220500.0,5,0,2,28,12000
2429,2005,136008.0,0,0,1,21,3500
2430,2012,173692.0,5,0,1,27,14000
2431,2008,173222.0,5,2,2,27,7995
2432,2007,149888.0,0,0,2,24,6000
2433,2004,125350.0,4,1,1,37,6000
2434,2013,120000.0,3,1,0,36,5250
2435,2002,82000.0,1,2,2,44,6500
2436,2012,151000.0,6,1,0,36,3999
2437,2011,142000.0,6,1,0,36,3499
2438,2005,165904.0,4,1,1,37,3995
2439,2011,75000.0,6,1,0,33,5450
2440,2002,82000.0,1,2,2,44,6500
2441,2013,46273.0,0,2,2,71,14990
2442,2005,196009.0,0,2,2,38,3990
2443,2014,134800.0,7,2,2,18,12990
2444,2011,167394.0,0,2,2,24,11990
2445,2005,78885.0,6,2,2,52,4590
2446,2014,160938.0,7,2,2,13,11999
2447,2003,138000.0,6,1,1,36,2895
2448,2007,147000.0,0,0,0,26,7000
2449,2014,64460.0,0,0,1,19,1000
2450,2011,101338.0,1,2,1,44,14895
2451,2007,159000.0,6,1,1,40,2900
2452,2005,139200.0,5,0,2,28,8200
2453,2013,103000.0,6,1,0,40,8800
2454,2001,118625.0,5,2,1,46,7495
2455,2014,70000.0,3,1,0,36,17000
2456,2008,178010.0,0,1,1,19,4200
2457,2011,182000.0,7,2,2,13,6500
2458,2013,124200.0,0,0,1,26,11500
2459,2007,131000.0,2,2,1,44,6995
2460,2018,99000.0,0,0,1,26,12900
2461,2001,139000.0,6,1,0,36,2800
2462,2008,116000.0,0,0,1,21,3500
2463,2011,139827.0,6,1,0,40,3995
2464,2016,51914.0,6,1,0,40,10995
2465,2014,151806.0,6,1,0,40,6495
2466,2014,151302.0,6,1,1,52,8995
2467,2003,240000.0,5,2,2,29,3500
2468,2001,124000.0,1,2,1,44,5200
2469,2016,70000.0,0,0,1,26,27000
2470,2016,70000.0,0,0,1,26,27000
2471,2002,81000.0,5,2,2,27,14000
2472,2008,123678.0,0,0,1,19,5100
2473,2011,100000.0,0,0,2,24,14500
2474,2010,140000.0,6,1,0,36,3900
2475,2006,129055.0,5,1,0,27,5895
2476,2003,222814.0,7,2,2,18,1992
2477,2012,168735.0,7,2,2,28,12950
2478,2016,65196.0,7,0,1,27,29950
2479,2010,137000.0,0,0,1,21,5995
2480,2002,106000.0,6,2,0,36,1100
2481,2014,177000.0,2,2,2,44,11999
2482,2012,140000.0,0,0,1,21,4788
2483,2001,130523.0,0,0,2,26,2950
2484,2014,72000.0,6,1,0,40,10500
2485,2006,163000.0,5,0,2,29,16500
2486,2019,7600.0,0,0,0,26,15490
2487,2012,188000.0,0,0,2,13,6000
2488,2016,59350.0,6,0,0,40,8000
2489,2006,212000.0,6,0,2,28,9999
2490,2003,138000.0,6,0,2,11,4200
2491,2001,109000.0,7,2,1,11,3500
2492,2018,73000.0,3,2,0,36,8900
2493,2013,93561.0,6,1,0,36,2800
2494,2011,85800.0,6,1,0,40,7500
2495,2011,173000.0,5,0,1,27,16500
2496,2014,68000.0,5,0,1,27,10900
2497,2014,79694.0,6,1,0,33,2600
2498,2008,92123.0,6,0,1,52,5495
2499,2012,149030.0,0,0,1,21,6995
2500,2011,122000.0,3,1,0,27,4995
2501,2012,133432.0,3,1,0,36,3995
2502,2007,175000.0,0,0,1,26,4800
2503,2016,70000.0,0,0,1,26,28500
2504,2016,70000.0,0,0,1,26,28500
2505,2007,160000.0,6,1,0,36,3100
2506,2006,55000.0,5,0,2,28,6900
2507,2013,128000.0,6,1,0,33,2000
2508,2011,160000.0,0,0,1,19,7995
2509,2006,204000.0,7,2,2,18,1400
2510,2003,147055.0,0,0,1,26,2795
2511,2013,184000.0,0,0,1,52,9500
2512,2005,165904.0,4,1,1,37,3995
2513,2006,74000.0,2,2,0,44,8000
2514,2004,173500.0,5,0,2,28,13000
2515,2015,59100.0,6,1,0,36,6800
2516,2013,103000.0,0,0,0,21,9000
2517,2005,165904.0,4,1,1,37,3950
2518,2014,110000.0,6,1,0,33,5900
2519,2007,128804.0,5,0,2,26,12500
2520,2013,148000.0,7,2,2,18,8500
2521,2008,152900.0,6,1,0,36,4000
2522,2001,158700.0,6,1,1,52,2500
2523,2005,163300.0,0,0,1,26,4750
2524,2014,111200.0,6,1,0,36,7750
2525,2010,128700.0,0,0,1,21,8497
2526,2012,45867.0,7,1,0,57,14490
2527,2014,44669.0,3,1,0,36,16500
2528,2010,105596.0,6,1,0,40,5999
2529,2005,195000.0,0,0,1,21,2500
2530,2011,91246.0,6,2,2,10,7695
2531,2016,150000.0,6,1,1,40,1200
2532,2002,132000.0,2,1,0,36,5500
2533,2006,150000.0,6,1,0,36,2400
2534,2011,49400.0,6,1,1,52,12500
2535,2014,32500.0,6,1,0,40,13000
2536,2014,76323.0,0,0,0,21,12995
2537,2015,63266.0,6,1,0,36,10495
2538,2009,46000.0,5,2,0,46,9400
2539,2017,24100.0,3,1,0,5,15000
2540,2017,79080.0,6,1,0,36,10500
2541,2002,132000.0,2,1,0,36,6500
2542,2008,161000.0,0,0,1,21,6399
2543,2006,155000.0,0,1,1,52,1500
2544,2012,175000.0,0,0,2,24,8990
2545,2013,217000.0,6,1,0,40,5950
2546,2016,93661.0,6,2,1,73,26995
2547,2015,74738.0,6,1,0,36,9995
2548,2018,97802.0,6,1,0,40,15995
2549,2012,171074.0,5,0,1,27,14995
2550,2018,63408.0,2,2,0,44,21995
2551,2016,115859.0,0,0,1,26,22995
2552,2017,106748.0,0,0,1,10,15995
2553,2014,65926.0,6,1,0,36,9995
2554,2014,75421.0,5,0,1,27,29995
2555,2016,66326.0,6,1,0,33,8995
2556,2015,77200.0,5,0,1,27,29995
2557,2011,127489.0,5,2,2,31,21995
2558,2018,113558.0,0,0,0,21,15995
2559,2017,100604.0,0,0,0,21,15995
2560,2015,97571.0,6,1,0,5,9995
2561,2017,51137.0,6,1,0,36,18995
2562,2018,34370.0,5,1,0,40,16990
2563,2017,59608.0,0,0,1,24,28990
2564,2015,64409.0,0,0,1,34,19990
2565,2018,51496.0,5,0,1,27,29990
2566,2004,154065.0,5,0,2,27,7975
2567,2017,31000.0,6,0,1,40,20500
2568,2008,140749.0,5,2,0,46,4000
2569,2010,100000.0,5,2,0,46,6500
2570,2011,95892.0,5,0,2,27,22500
2571,2001,155000.0,0,0,1,26,3750
2572,2017,122646.0,0,1,0,21,12495
2573,2011,150000.0,0,0,1,34,9000
2574,2007,239509.0,0,0,2,24,5500
2575,2010,101450.0,0,1,1,21,6995
2576,2014,185000.0,5,0,1,27,13500
2577,2005,165904.0,4,1,1,37,3995
2578,2008,152751.0,5,0,2,27,7950
2579,2010,157172.0,6,1,1,40,6985
2580,2014,116586.0,0,1,0,21,9750
2581,2008,185934.0,0,1,1,21,5999
2582,2011,85250.0,6,1,0,40,8985
2583,2007,171785.0,6,1,0,40,4985
2584,2014,92300.0,0,0,1,26,15500
2585,2006,158536.0,6,1,1,52,4999
2586,2014,49000.0,3,1,0,36,13200
2587,2014,99852.0,0,1,1,19,9000
2588,2013,60130.0,5,0,2,29,29990
2589,2011,166500.0,0,0,2,24,10750
2590,2007,147700.0,5,2,2,27,7000
2591,2003,180835.0,6,1,1,52,3900
2592,2010,78000.0,5,0,2,27,17900
2593,2006,129055.0,5,0,2,27,5895
2594,2014,204120.0,0,1,0,21,2950
2595,2014,115000.0,6,1,0,40,9950
2596,2008,98000.0,6,1,0,36,3900
2597,2017,28349.0,0,2,0,21,14750
2598,2015,44450.0,4,1,0,64,20500
2599,2009,130000.0,0,1,1,21,3900
2600,2006,230000.0,7,2,2,13,3000
2601,2006,178000.0,5,2,1,27,2800
2602,2010,144888.0,5,0,2,28,22500
2603,2011,180000.0,0,1,1,21,5995
2604,2010,101450.0,0,1,1,21,6995
2605,2017,72849.0,0,0,1,24,29900
2606,2013,136000.0,8,0,1,34,12795
2607,2014,86000.0,0,1,0,21,11483
2608,2007,105203.0,6,2,2,10,4250
2609,2011,159420.0,0,1,1,19,9950
2610,2008,160000.0,6,0,2,24,8650
2611,2013,89511.0,3,1,0,5,9950
2612,2016,81136.0,7,2,2,14,26900
2613,2007,147100.0,5,2,2,27,7000
2614,2008,158347.0,0,0,2,24,3000
2615,2013,147198.0,0,0,0,21,7980
2616,2011,141021.0,6,1,0,40,6000
2617,2003,210000.0,0,0,2,23,15950
2618,2013,187000.0,5,2,1,27,10995
2619,2013,103000.0,0,0,0,21,9995
2620,2013,103000.0,7,1,0,57,10950
2621,2012,141373.0,3,1,0,36,6450
2622,2013,112447.0,7,1,0,71,9500
2623,2014,141000.0,5,0,2,27,17900
2624,2003,210000.0,0,0,2,23,15950
2625,2013,117000.0,2,2,2,44,18950
2626,2009,119000.0,0,0,1,21,6900
2627,2017,75214.0,0,0,1,26,25989
2628,2012,118059.0,0,0,1,34,11995
2629,2010,200336.0,5,0,2,27,11995
2630,2013,136000.0,8,0,1,34,12795
2631,2014,86000.0,0,1,0,21,11483
2632,2013,49784.0,5,2,2,29,23990
2633,2013,62494.0,5,2,2,28,23990
2634,2003,149055.0,5,0,2,27,2595
2635,2004,8572.0,7,2,2,18,18775
2636,2005,128000.0,2,2,2,44,5300
2637,2006,165765.0,2,0,2,28,7000
2638,2005,190000.0,5,2,1,46,4900
2639,2015,61000.0,6,1,0,36,9500
2640,2008,248000.0,5,0,2,29,16500
2641,2017,122646.0,0,1,0,21,12495
2642,2012,90000.0,6,1,0,40,7250
2643,2013,110643.0,1,2,1,44,12900
2644,2002,53000.0,2,2,2,44,10500
2645,2013,182570.0,0,0,1,34,8800
2646,2008,248000.0,5,0,2,29,16500
2647,2010,177000.0,7,2,2,12,9950
2648,2013,16000.0,6,1,0,33,6000
2649,2008,122000.0,0,1,1,19,7950
2650,2007,138000.0,0,0,2,24,14500
2651,2008,163000.0,0,2,1,21,6950
2652,2005,47500.0,6,2,2,10,5800
2653,2013,51000.0,0,0,1,19,15000
2654,2008,157980.0,5,0,2,27,15900
2655,2014,128955.0,0,0,2,24,15895
2656,2010,114125.0,6,1,1,40,6688
2657,2011,186649.0,8,0,1,34,7940
2658,2013,157739.0,0,1,0,19,10990
2659,2013,153348.0,0,0,1,19,9440
2660,2008,145650.0,0,1,1,19,6995
2661,2007,182000.0,3,1,0,19,5950
2662,2006,70633.0,4,1,1,37,4380
2663,2003,149055.0,5,0,2,27,2595
2664,2011,157000.0,6,1,0,36,4795
2665,2012,71180.0,7,2,2,18,14900
2666,2005,115000.0,4,1,1,37,5000
2667,2016,116881.0,0,1,0,21,10870
2668,2018,43555.0,0,0,0,21,16995
2669,2006,74364.0,0,0,1,21,7395
2670,2005,122764.0,0,0,1,21,5995
2671,2015,46000.0,6,1,0,36,14000
2672,2017,39665.0,7,2,1,49,22900
2673,2002,200000.0,0,0,1,26,2500
2674,2006,179000.0,0,0,2,24,8250
2675,2007,118253.0,3,1,0,36,4295
2676,2015,186814.0,7,1,0,70,8240
2677,2009,131630.0,6,1,0,36,4900
2678,2002,244000.0,0,0,2,26,4000
2679,2012,215116.0,0,1,1,19,6981
2680,2010,132337.0,0,0,1,21,4981
2681,2013,175888.0,6,1,0,36,3981
2682,2009,208000.0,6,1,1,34,4500
2683,2017,90240.0,0,0,0,21,12988
2684,2007,220345.0,0,0,2,24,6145
2685,2007,90926.0,6,1,0,36,5500
2686,2011,200968.0,5,0,2,28,26895
2687,2014,83000.0,5,0,1,27,26000
2688,2011,120390.0,0,0,1,21,7995
